name,coordinate,creation_timestamp
Arden Town,"{'latitude': 38.62228, 'longitude': -121.3831}",1565373177
Arden Town,"{'latitude': 38.63388, 'longitude': -121.38305}",1565373096
Citrus Heights,"{'latitude': 38.68216, 'longitude': -121.26496}",1565356483
Citrus Heights,"{'latitude': 38.68219, 'longitude': -121.26486}",1565310929
Citrus Heights,"{'latitude': 38.67967, 'longitude': -121.2704}",1565309202
Fair Oaks,"{'latitude': 38.6638, 'longitude': -121.22563}",1565308290
Folsom,"{'latitude': 38.64927, 'longitude': -121.11739}",1565306755
Folsom,"{'latitude': 38.64989, 'longitude': -121.11756}",1565305975
Folsom,"{'latitude': 38.64292, 'longitude': -121.191}",1565295596
Citrus Heights,"{'latitude': 38.68213, 'longitude': -121.26494}",1565274520
Citrus Heights,"{'latitude': 38.68218, 'longitude': -121.26494}",1565270667
Citrus Heights,"{'latitude': 38.68195, 'longitude': -121.26501}",1565260886
